Ticker,last_date,current_price,rating_group,ml_var5_price_1q,ml_min_price_1q,ml_var5_price_2q,ml_min_price_2q,breakeven_price_rating_1q,breakeven_price_rating_2q,mc_min_p5_1q,mc_min_p3_1q,mc_min_p1_1q,mc_min_p01_1q,mc_min_p5_2q,mc_min_p3_2q,mc_min_p1_2q,mc_min_p01_2q,dd_q05_1q,dd_q03_1q,dd_q01_1q,dd_q001_1q,dd_q05_2q,dd_q03_2q,dd_q01_2q,dd_q001_2q
AGG,2025-11-17,16.4,B,11.141062200069426,7.376422095298766,10.224232184886931,6.16206841468811,5.338297206163406,4.7291276991367335,1.8296162034810939,1.1912664011684237,0.40604149470350154,0.015075843897403447,1.8280161681512177,1.0159979253520504,0.4391414744425675,0.14646671435178876,-0.32066693902015686,-0.3489881455898285,-0.4144078195095062,-0.5502181649208069,-0.3765712082386017,-0.4232771098613739,-0.5010249614715576,-0.624264121055603
AGM,2025-11-17,2.8,C,1.778652274608612,1.0680541515350341,1.5687004566192626,0.9801112174987793,0.7292743682861328,0.6469745874404906,3.182176649421644e-39,8.44934826641416e-40,2.264405379620427e-41,3.4209537819487914e-44,6.428278062810994e-75,6.118664142668464e-76,1.4185481280613307e-77,1.9608553517214796e-80,-0.36476704478263855,-0.3834124207496643,-0.47908973693847656,-0.6185520887374878,-0.4397498369216919,-0.4877265989780426,-0.5378752946853638,-0.6499602794647217
AGP,2025-11-17,40.9,B,32.1475120767951,21.976398479938506,29.79585390985012,19.39935135245323,15.362505126744509,13.81590831130743,18.346966300560325,13.551421898590483,7.302701766452396,2.58136177437959,17.705986438186212,13.356392474820218,6.479635385442001,1.5404185545863283,-0.2139972597360611,-0.24877725541591644,-0.3300921618938446,-0.46267974376678467,-0.2714950144290924,-0.3244054615497589,-0.40675923228263855,-0.5256882309913635
AGR,2025-11-17,15.95,B,11.476959140598774,7.772872930765152,10.391694308817387,6.367313557863235,5.439579924196004,4.818485299497842,0.6502261438823173,0.3172435664067266,0.08580821568398313,0.0018607305910479592,0.5633069354801696,0.26742368058439303,0.054773807671245914,0.004425389609660634,-0.28044143319129944,-0.3179210126399994,-0.38639336824417114,-0.5126725435256958,-0.3484831154346466,-0.39580121636390686,-0.4808237850666046,-0.6007953882217407
AGX,2025-11-17,151.1,A,117.55217229574919,86.29171894490719,109.03817698061467,78.47796724140643,58.776086147874594,54.51908849030733,291.6404928367173,224.7041375901679,131.29833703742398,76.32738287966507,312.04832864631777,238.6650091105282,123.94956597176855,45.58947675796489,-0.22202400863170624,-0.258969783782959,-0.3286728858947754,-0.42890986800193787,-0.27837076783180237,-0.3250157833099365,-0.37297239899635315,-0.4806223213672638
AIC,2025-11-17,10.0,B,7.258669137954712,4.721713066101074,6.745224297046661,4.216093420982361,3.392364978790283,3.0704249441623688,4.166298359780503e-09,6.996575757587677e-10,1.659828744307141e-11,5.97008371777367e-13,3.752818108098216e-14,1.268769341081853e-15,2.5770615981403397e-18,1.0719185314015965e-21,-0.2741330862045288,-0.32152700424194336,-0.3863416016101837,-0.5278286933898926,-0.32547757029533386,-0.38591501116752625,-0.46046847105026245,-0.5783906579017639
AIG,2025-11-17,44.4,B,35.9645856320858,28.779803681373597,33.30494951605797,24.907612216472625,16.983449578285217,15.62694541811943,34.544610135787764,28.038390433796273,21.200131259235988,11.91752202760405,32.83537325954175,27.56994284154139,19.03950686921274,9.958541480147375,-0.18998681008815765,-0.2349797487258911,-0.28863948583602905,-0.3518062233924866,-0.24988852441310883,-0.29608353972435,-0.3603232800960541,-0.43901774287223816
ALT,2025-11-17,13.1,B,8.921133890748024,5.559160208702087,8.103129184246063,5.015279448032379,4.124597303569317,3.7458927512168883,0.0653285164371667,0.025247310450039744,0.002512938890398899,8.808602523572938e-05,0.1032468794025774,0.03905954262279445,0.003316759359052834,0.0001879763044949156,-0.31899741291999817,-0.37029048800468445,-0.443293958902359,-0.575636625289917,-0.38144052028656006,-0.42810797691345215,-0.5049065947532654,-0.6171542406082153
ALV,2025-11-17,6.7,B,5.15256003588438,3.645747059583664,4.715511667728424,3.1418877482414245,2.473399332165718,2.1830079704523087,9.817637119915793e-14,1.6885275638422587e-14,3.201370125140546e-16,3.522591892639155e-19,1.6840239760930945e-23,1.1529652423760376e-24,4.723134743635498e-27,3.278445173208411e-30,-0.23096118867397308,-0.26167184114456177,-0.34236329793930054,-0.45585864782333374,-0.2961922883987427,-0.34835582971572876,-0.42318370938301086,-0.5310615301132202
AMC,2025-11-17,21.0,B,14.110066562891006,8.734241545200348,12.701138287782669,7.432653844356537,6.556053131818771,5.837050840258598,1.0147240504727932,0.5768712849257194,0.10260393251569884,0.004463884385913418,0.7887314673777185,0.3941385140717908,0.08747445083717265,0.005898063206755614,-0.3280920684337616,-0.3756139874458313,-0.455888569355011,-0.5840837359428406,-0.39518389105796814,-0.4440903961658478,-0.5331887602806091,-0.6460641026496887
AMD,2025-11-17,1.1,,0.687219250202179,0.4945534229278565,0.5998570531606675,0.45115141868591313,,,9.614764727630588e-70,1.3065120150015897e-70,9.17522022766537e-72,8.178389406933443e-74,9.197700166184268e-136,7.878800687147008e-137,1.72203128279443e-139,3.529923663674792e-141,-0.3752552270889282,-0.41596171259880066,-0.4845212697982788,-0.5504059791564941,-0.4546754062175751,-0.4860756993293762,-0.545471727848053,-0.5898623466491699
AME,2025-11-17,8.6,B,6.638011536002159,4.731110650300979,6.06573201417923,4.03736275434494,3.1708697021007537,2.83695607483387,3.5054273629993236e-09,2.8192189763063567e-10,7.167107904819577e-13,2.7076135577370214e-16,1.614740314220457e-14,5.943538156800386e-16,6.787596844502453e-19,8.229192165462655e-23,-0.22813819348812103,-0.2625884413719177,-0.33277979493141174,-0.44987085461616516,-0.2946823239326477,-0.34024277329444885,-0.41445839405059814,-0.5305392146110535
