Ticker,last_date,current_price,horizon,ml_pred,mc_p5,mc_median,mc_p95,mu,sigma
APC,2025-11-17,7.1,3d,7.170210558911275,6.395784481101137,7.060614498329683,7.79452982295797,-0.0017794662570951001,0.034644959433446185
APC,2025-11-17,7.1,7d,7.177007846441855,6.029734164429272,7.00562327359501,8.16244723519257,-0.0017794662570951001,0.034644959433446185
APC,2025-11-17,7.1,30d,7.2858531749880235,4.924808670172228,6.741035675187289,9.190557725146707,-0.0017794662570951001,0.034644959433446185
APF,2025-11-17,39.2,1d,39.12492746103336,38.24062820049382,39.14542945448632,40.08224049083177,-0.0013471221522325667,0.01422092897672713
APF,2025-11-17,39.2,3d,39.11280929782384,37.4943200985687,39.03866832943917,40.658711055182565,-0.0013471221522325667,0.01422092897672713
APF,2025-11-17,39.2,7d,39.24605668279263,36.497773227147206,38.838258496120275,41.29541015327874,-0.0013471221522325667,0.01422092897672713
APF,2025-11-17,39.2,30d,39.44836946207885,33.20680846583275,37.622934186374984,42.8373424679046,-0.0013471221522325667,0.01422092897672713
APG,2025-11-17,11.0,1d,10.94548780535937,10.72649715727359,10.987757473815016,11.250298885857204,-0.001099299463196627,0.014614703381685147
APG,2025-11-17,11.0,3d,10.94976670085093,10.516264431852276,10.966004052279605,11.425718595891947,-0.001099299463196627,0.014614703381685147
APG,2025-11-17,11.0,7d,10.986120024096444,10.252003578720174,10.917924773821873,11.635340784478977,-0.001099299463196627,0.014614703381685147
APG,2025-11-17,11.0,30d,11.07216856919232,9.311352521791028,10.644451226653882,12.142908641590942,-0.001099299463196627,0.014614703381685147
